filename	nitrogen	variety
1-1.txt	140	1
1-2.txt	140	1
1-3.txt	180	1
1-4.txt	180	1
10-1.txt	140	10
10-2.txt	140	10
10-3.txt	180	10
10-4.txt	180	10
2-1.txt	140	2
2-2.txt	140	2
2-3.txt	180	2
2-4.txt	180	2
3-1.txt	140	3
3-2.txt	140	3
3-3.txt	180	3
3-4.txt	180	3
4-1.txt	140	4
4-2.txt	140	4
4-3.txt	180	4
4-4.txt	180	4
5-1.txt	140	5
5-2.txt	140	5
5-3.txt	180	5
5-4.txt	180	5
6-1.txt	140	6
6-2.txt	140	6
6-3.txt	180	6
6-4.txt	180	6
7-1.txt	140	7
7-2.txt	140	7
7-3.txt	180	7
7-4.txt	180	7
8-1.txt	140	8
8-2.txt	140	8
8-3.txt	180	8
8-4.txt	180	8
9-1.txt	140	9
9-2.txt	140	9
9-3.txt	180	9
9-4.txt	180	9
yellowdry.txt	NA	NA
